"Date","ChinaUnemply","USAUnemply","JapanUnemply"
"2020-01-06","5.2","3.6","2.2"
"2020-01-07","5.2","3.6","2.2"
"2020-01-08","5.2","3.6","2.2"
"2020-01-09","5.2","3.6","2.2"
"2020-01-10","5.2","3.6","2.2"
"2020-01-11","5.2","3.6","2.2"
"2020-01-12","5.2","3.6","2.2"
"2020-01-13","5.2","3.6","2.2"
"2020-01-14","5.2","3.6","2.2"
"2020-01-15","5.2","3.6","2.2"
"2020-01-16","5.2","3.6","2.2"
"2020-01-17","5.2","3.6","2.2"
"2020-01-18","5.2","3.6","2.2"
"2020-01-19","5.2","3.6","2.2"
"2020-01-20","5.2","3.6","2.2"
"2020-01-21","5.2","3.6","2.2"
"2020-01-22","5.2","3.6","2.2"
"2020-01-23","5.2","3.6","2.2"
"2020-01-24","5.2","3.6","2.2"
"2020-01-25","5.2","3.6","2.2"
"2020-01-26","5.2","3.6","2.2"
"2020-01-27","5.2","3.6","2.2"
"2020-01-28","5.2","3.6","2.2"
"2020-01-29","5.2","3.6","2.2"
"2020-01-30","5.2","3.6","2.2"
"2020-01-31","5.2","3.6","2.2"
"2020-02-01","5.3","3.5","2.4"
"2020-02-02","5.3","3.5","2.4"
"2020-02-03","5.3","3.5","2.4"
"2020-02-04","5.3","3.5","2.4"
"2020-02-05","5.3","3.5","2.4"
"2020-02-06","5.3","3.5","2.4"
"2020-02-07","5.3","3.5","2.4"
"2020-02-08","5.3","3.5","2.4"
"2020-02-09","5.3","3.5","2.4"
"2020-02-10","5.3","3.5","2.4"
"2020-02-11","5.3","3.5","2.4"
"2020-02-12","5.3","3.5","2.4"
"2020-02-13","5.3","3.5","2.4"
"2020-02-14","5.3","3.5","2.4"
"2020-02-15","5.3","3.5","2.4"
"2020-02-16","5.3","3.5","2.4"
"2020-02-17","5.3","3.5","2.4"
"2020-02-18","5.3","3.5","2.4"
"2020-02-19","5.3","3.5","2.4"
"2020-02-20","5.3","3.5","2.4"
"2020-02-21","5.3","3.5","2.4"
"2020-02-22","5.3","3.5","2.4"
"2020-02-23","5.3","3.5","2.4"
"2020-02-24","5.3","3.5","2.4"
"2020-02-25","5.3","3.5","2.4"
"2020-02-26","5.3","3.5","2.4"
"2020-02-27","5.3","3.5","2.4"
"2020-02-28","5.3","3.5","2.4"
"2020-02-29","5.3","3.5","2.4"
"2020-03-01","6.2","4.4","2.4"
"2020-03-02","6.2","4.4","2.4"
"2020-03-03","6.2","4.4","2.4"
"2020-03-04","6.2","4.4","2.4"
"2020-03-05","6.2","4.4","2.4"
"2020-03-06","6.2","4.4","2.4"
"2020-03-07","6.2","4.4","2.4"
"2020-03-08","6.2","4.4","2.4"
"2020-03-09","6.2","4.4","2.4"
"2020-03-10","6.2","4.4","2.4"
"2020-03-11","6.2","4.4","2.4"
"2020-03-12","6.2","4.4","2.4"
"2020-03-13","6.2","4.4","2.4"
"2020-03-14","6.2","4.4","2.4"
"2020-03-15","6.2","4.4","2.4"
"2020-03-16","6.2","4.4","2.4"
"2020-03-17","6.2","4.4","2.4"
"2020-03-18","6.2","4.4","2.4"
"2020-03-19","6.2","4.4","2.4"
"2020-03-20","6.2","4.4","2.4"
"2020-03-21","6.2","4.4","2.4"
"2020-03-22","6.2","4.4","2.4"
"2020-03-23","6.2","4.4","2.4"
"2020-03-24","6.2","4.4","2.4"
"2020-03-25","6.2","4.4","2.4"
"2020-03-26","6.2","4.4","2.4"
"2020-03-27","6.2","4.4","2.4"
"2020-03-28","6.2","4.4","2.4"
"2020-03-29","6.2","4.4","2.4"
"2020-03-30","6.2","4.4","2.4"
"2020-03-31","6.2","4.4","2.4"
"2020-04-01","5.9","14.7","2.5"
"2020-04-02","5.9","14.7","2.5"
"2020-04-03","5.9","14.7","2.5"
"2020-04-04","5.9","14.7","2.5"
"2020-04-05","5.9","14.7","2.5"
"2020-04-06","5.9","14.7","2.5"
"2020-04-07","5.9","14.7","2.5"
"2020-04-08","5.9","14.7","2.5"
"2020-04-09","5.9","14.7","2.5"
"2020-04-10","5.9","14.7","2.5"
"2020-04-11","5.9","14.7","2.5"
"2020-04-12","5.9","14.7","2.5"
"2020-04-13","5.9","14.7","2.5"
"2020-04-14","5.9","14.7","2.5"
"2020-04-15","5.9","14.7","2.5"
"2020-04-16","5.9","14.7","2.5"
"2020-04-17","5.9","14.7","2.5"
"2020-04-18","5.9","14.7","2.5"
"2020-04-19","5.9","14.7","2.5"
"2020-04-20","5.9","14.7","2.5"
"2020-04-21","5.9","14.7","2.5"
"2020-04-22","5.9","14.7","2.5"
"2020-04-23","5.9","14.7","2.5"
"2020-04-24","5.9","14.7","2.5"
"2020-04-25","5.9","14.7","2.5"
"2020-04-26","5.9","14.7","2.5"
"2020-04-27","5.9","14.7","2.5"
"2020-04-28","5.9","14.7","2.5"
"2020-04-29","5.9","14.7","2.5"
"2020-04-30","5.9","14.7","2.5"
"2020-05-01","6","13.3","2.6"
"2020-05-02","6","13.3","2.6"
"2020-05-03","6","13.3","2.6"
"2020-05-04","6","13.3","2.6"
"2020-05-05","6","13.3","2.6"
"2020-05-06","6","13.3","2.6"
"2020-05-07","6","13.3","2.6"
"2020-05-08","6","13.3","2.6"
"2020-05-09","6","13.3","2.6"
"2020-05-10","6","13.3","2.6"
"2020-05-11","6","13.3","2.6"
"2020-05-12","6","13.3","2.6"
"2020-05-13","6","13.3","2.6"
"2020-05-14","6","13.3","2.6"
"2020-05-15","6","13.3","2.6"
"2020-05-16","6","13.3","2.6"
"2020-05-17","6","13.3","2.6"
"2020-05-18","6","13.3","2.6"
"2020-05-19","6","13.3","2.6"
"2020-05-20","6","13.3","2.6"
"2020-05-21","6","13.3","2.6"
"2020-05-22","6","13.3","2.6"
"2020-05-23","6","13.3","2.6"
"2020-05-24","6","13.3","2.6"
"2020-05-25","6","13.3","2.6"
"2020-05-26","6","13.3","2.6"
"2020-05-27","6","13.3","2.6"
"2020-05-28","6","13.3","2.6"
"2020-05-29","6","13.3","2.6"
"2020-05-30","6","13.3","2.6"
"2020-05-31","6","13.3","2.6"
"2020-06-01","5.9","11.1","2.9"
"2020-06-02","5.9","11.1","2.9"
"2020-06-03","5.9","11.1","2.9"
"2020-06-04","5.9","11.1","2.9"
"2020-06-05","5.9","11.1","2.9"
"2020-06-06","5.9","11.1","2.9"
"2020-06-07","5.9","11.1","2.9"
"2020-06-08","5.9","11.1","2.9"
"2020-06-09","5.9","11.1","2.9"
"2020-06-10","5.9","11.1","2.9"
"2020-06-11","5.9","11.1","2.9"
"2020-06-12","5.9","11.1","2.9"
"2020-06-13","5.9","11.1","2.9"
"2020-06-14","5.9","11.1","2.9"
"2020-06-15","5.9","11.1","2.9"
"2020-06-16","5.9","11.1","2.9"
"2020-06-17","5.9","11.1","2.9"
"2020-06-18","5.9","11.1","2.9"
"2020-06-19","5.9","11.1","2.9"
"2020-06-20","5.9","11.1","2.9"
"2020-06-21","5.9","11.1","2.9"
"2020-06-22","5.9","11.1","2.9"
"2020-06-23","5.9","11.1","2.9"
"2020-06-24","5.9","11.1","2.9"
"2020-06-25","5.9","11.1","2.9"
"2020-06-26","5.9","11.1","2.9"
"2020-06-27","5.9","11.1","2.9"
"2020-06-28","5.9","11.1","2.9"
"2020-06-29","5.9","11.1","2.9"
"2020-06-30","5.9","11.1","2.9"
"2020-07-01","5.7","10.2","2.8"
"2020-07-02","5.7","10.2","2.8"
"2020-07-03","5.7","10.2","2.8"
"2020-07-04","5.7","10.2","2.8"
"2020-07-05","5.7","10.2","2.8"
"2020-07-06","5.7","10.2","2.8"
"2020-07-07","5.7","10.2","2.8"
"2020-07-08","5.7","10.2","2.8"
"2020-07-09","5.7","10.2","2.8"
"2020-07-10","5.7","10.2","2.8"
"2020-07-11","5.7","10.2","2.8"
"2020-07-12","5.7","10.2","2.8"
"2020-07-13","5.7","10.2","2.8"
"2020-07-14","5.7","10.2","2.8"
"2020-07-15","5.7","10.2","2.8"
"2020-07-16","5.7","10.2","2.8"
"2020-07-17","5.7","10.2","2.8"
"2020-07-18","5.7","10.2","2.8"
"2020-07-19","5.7","10.2","2.8"
"2020-07-20","5.7","10.2","2.8"
"2020-07-21","5.7","10.2","2.8"
"2020-07-22","5.7","10.2","2.8"
"2020-07-23","5.7","10.2","2.8"
"2020-07-24","5.7","10.2","2.8"
"2020-07-25","5.7","10.2","2.8"
"2020-07-26","5.7","10.2","2.8"
"2020-07-27","5.7","10.2","2.8"
"2020-07-28","5.7","10.2","2.8"
"2020-07-29","5.7","10.2","2.8"
"2020-07-30","5.7","10.2","2.8"
"2020-07-31","5.7","10.2","2.8"
"2020-08-01","5.7","8.4","2.9"
"2020-08-02","5.7","8.4","2.9"
"2020-08-03","5.7","8.4","2.9"
"2020-08-04","5.7","8.4","2.9"
"2020-08-05","5.7","8.4","2.9"
"2020-08-06","5.7","8.4","2.9"
"2020-08-07","5.7","8.4","2.9"
"2020-08-08","5.7","8.4","2.9"
"2020-08-09","5.7","8.4","2.9"
"2020-08-10","5.7","8.4","2.9"
"2020-08-11","5.7","8.4","2.9"
"2020-08-12","5.7","8.4","2.9"
"2020-08-13","5.7","8.4","2.9"
"2020-08-14","5.7","8.4","2.9"
"2020-08-15","5.7","8.4","2.9"
"2020-08-16","5.7","8.4","2.9"
"2020-08-17","5.7","8.4","2.9"
"2020-08-18","5.7","8.4","2.9"
"2020-08-19","5.7","8.4","2.9"
"2020-08-20","5.7","8.4","2.9"
"2020-08-21","5.7","8.4","2.9"
"2020-08-22","5.7","8.4","2.9"
"2020-08-23","5.7","8.4","2.9"
"2020-08-24","5.7","8.4","2.9"
"2020-08-25","5.7","8.4","2.9"
"2020-08-26","5.7","8.4","2.9"
"2020-08-27","5.7","8.4","2.9"
"2020-08-28","5.7","8.4","2.9"
"2020-08-29","5.7","8.4","2.9"
"2020-08-30","5.7","8.4","2.9"
"2020-08-31","5.7","8.4","2.9"
"2020-09-01","5.6","7.9","3"
"2020-09-02","5.6","7.9","3"
"2020-09-03","5.6","7.9","3"
"2020-09-04","5.6","7.9","3"
"2020-09-05","5.6","7.9","3"
"2020-09-06","5.6","7.9","3"
"2020-09-07","5.6","7.9","3"
"2020-09-08","5.6","7.9","3"
"2020-09-09","5.6","7.9","3"
"2020-09-10","5.6","7.9","3"
"2020-09-11","5.6","7.9","3"
"2020-09-12","5.6","7.9","3"
"2020-09-13","5.6","7.9","3"
"2020-09-14","5.6","7.9","3"
"2020-09-15","5.6","7.9","3"
"2020-09-16","5.6","7.9","3"
"2020-09-17","5.6","7.9","3"
"2020-09-18","5.6","7.9","3"
"2020-09-19","5.6","7.9","3"
"2020-09-20","5.6","7.9","3"
"2020-09-21","5.6","7.9","3"
"2020-09-22","5.6","7.9","3"
"2020-09-23","5.6","7.9","3"
"2020-09-24","5.6","7.9","3"
"2020-09-25","5.6","7.9","3"
"2020-09-26","5.6","7.9","3"
"2020-09-27","5.6","7.9","3"
"2020-09-28","5.6","7.9","3"
"2020-09-29","5.6","7.9","3"
"2020-09-30","5.6","7.9","3"
"2020-10-01","5.4","6.9","3"
"2020-10-02","5.4","6.9","3"
"2020-10-03","5.4","6.9","3"
"2020-10-04","5.4","6.9","3"
"2020-10-05","5.4","6.9","3"
"2020-10-06","5.4","6.9","3"
"2020-10-07","5.4","6.9","3"
"2020-10-08","5.4","6.9","3"
"2020-10-09","5.4","6.9","3"
"2020-10-10","5.4","6.9","3"
"2020-10-11","5.4","6.9","3"
"2020-10-12","5.4","6.9","3"
"2020-10-13","5.4","6.9","3"
"2020-10-14","5.4","6.9","3"
"2020-10-15","5.4","6.9","3"
"2020-10-16","5.4","6.9","3"
"2020-10-17","5.4","6.9","3"
"2020-10-18","5.4","6.9","3"
"2020-10-19","5.4","6.9","3"
"2020-10-20","5.4","6.9","3"
"2020-10-21","5.4","6.9","3"
"2020-10-22","5.4","6.9","3"
"2020-10-23","5.4","6.9","3"
"2020-10-24","5.4","6.9","3"
"2020-10-25","5.4","6.9","3"
"2020-10-26","5.4","6.9","3"
"2020-10-27","5.4","6.9","3"
"2020-10-28","5.4","6.9","3"
"2020-10-29","5.4","6.9","3"
"2020-10-30","5.4","6.9","3"
"2020-10-31","5.4","6.9","3"
"2020-11-01","5.3","6.7","3.1"
"2020-11-02","5.3","6.7","3.1"
"2020-11-03","5.3","6.7","3.1"
"2020-11-04","5.3","6.7","3.1"
"2020-11-05","5.3","6.7","3.1"
"2020-11-06","5.3","6.7","3.1"
"2020-11-07","5.3","6.7","3.1"
"2020-11-08","5.3","6.7","3.1"
"2020-11-09","5.3","6.7","3.1"
"2020-11-10","5.3","6.7","3.1"
"2020-11-11","5.3","6.7","3.1"
"2020-11-12","5.3","6.7","3.1"
"2020-11-13","5.3","6.7","3.1"
"2020-11-14","5.3","6.7","3.1"
"2020-11-15","5.3","6.7","3.1"
"2020-11-16","5.3","6.7","3.1"
"2020-11-17","5.3","6.7","3.1"
"2020-11-18","5.3","6.7","3.1"
"2020-11-19","5.3","6.7","3.1"
"2020-11-20","5.3","6.7","3.1"
